TAX,LON,LAT,POP,RESP
Juniperus badia,-3.84,37.61,NA,NA
Juniperus badia,-3.7379,37.628,NA,NA
Juniperus badia,-3.7411624,37.6987655,NA,NA
Juniperus badia,-2.546,37.9449,NA,NA
Juniperus badia,-2.901151,37.9687789,NA,NA
Juniperus badia,-5.95,37.99,NA,NA
Juniperus badia,-2.28,38,NA,NA
Juniperus badia,-2.288,38.022,NA,NA
Juniperus badia,-4.0626,38.1482,NA,NA
Juniperus badia,-2.71,38.17,NA,NA
Juniperus badia,-2.298,38.194,NA,NA
Juniperus badia,-3.57,38.33,NA,NA
Juniperus badia,-1.964,38.335,NA,NA
Juniperus badia,-3.8823,38.339,NA,NA
Juniperus badia,-3.49,38.38,NA,NA
Juniperus badia,-3.762,38.4,NA,NA
Juniperus badia,-4.0666,38.4186,NA,NA
Juniperus badia,-4.0611802,38.4187751,NA,NA
Juniperus badia,-4.07,38.419998,NA,NA
Juniperus badia,-4.06,38.42,NA,NA
Juniperus badia,-4.06,38.425,NA,NA
Juniperus badia,-4.2845,38.4344,NA,NA
Juniperus badia,-3.9408,38.4377,NA,NA
Juniperus badia,-4.35,38.439999,NA,NA
Juniperus badia,-3.68,38.45,NA,NA
Juniperus badia,-3.682,38.455,NA,NA
Juniperus badia,-4.118,38.479,NA,NA
Juniperus badia,-3.69,38.48,NA,NA
Juniperus badia,-3.86,38.48,NA,NA
Juniperus badia,-3.8038,38.4837,NA,NA
Juniperus badia,-6.1,38.5,NA,NA
Juniperus badia,-2.5883,38.5218,NA,NA
Juniperus badia,-3.89,38.529999,NA,NA
Juniperus badia,-6.03,38.53,NA,NA
Juniperus badia,-5.5258,38.5494,NA,NA
Juniperus badia,-6.05,38.55,NA,NA
Juniperus badia,-6.05,38.56,NA,NA
Juniperus badia,-6.11,38.59,NA,NA
Juniperus badia,-2.23,38.6,NA,NA
Juniperus badia,-5.3,38.6,NA,NA
Juniperus badia,-5.9,38.6,NA,NA
Juniperus badia,-5.4,38.6,NA,NA
Juniperus badia,-5.5,38.6,NA,NA
Juniperus badia,-2.73,38.60872,NA,NA
Juniperus badia,-2.74,38.61,NA,NA
Juniperus badia,-4.6898,38.6185,NA,NA
Juniperus badia,-4.22,38.630001,NA,NA
Juniperus badia,-4.15,38.630001,NA,NA
Juniperus badia,-5.8732,38.6314,NA,NA
Juniperus badia,-3.89,38.65,NA,NA
Juniperus badia,-5.43,38.68,NA,NA
Juniperus badia,-5.24,38.69,NA,NA
Juniperus badia,-5.23,38.69,NA,NA
Juniperus badia,-5.21,38.7,NA,NA
Juniperus badia,-5.1,38.7,NA,NA
Juniperus badia,-5.51,38.71,NA,NA
Juniperus badia,-6.13,38.76,NA,NA
Juniperus badia,-5.16,38.77,NA,NA
Juniperus badia,-5.15,38.79,NA,NA
