gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1	912138158	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000089172	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES	shore of Arenal Bay		PRESENT	NA	061b4f20-f241-11da-a328-b8a03c50a862	39.58	2.65	NA	NA	1	NA	NA	NA	1934-10-02T00:00:00	2	10	1934	7230657	2684451	PRESERVED_SPECIMEN	K	Herbarium	K000089172	40	Farjon, A.		CC_BY_4_0		Martindale, G.C.			2023-09-27T16:45:45.689Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2	912138157	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000089173	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES			PRESENT	NA	061b4f20-f241-11da-a328-b8a03c50a862	39.75	2.7	NA	NA	600	NA	NA	NA	1869-06-26T00:00:00	26	6	1869	7230657	2684451	PRESERVED_SPECIMEN	K	Herbarium	K000089173	2800	Farjon, A.		CC_BY_4_0		Bourgeau, E.			2023-09-27T16:46:53.822Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
3	912138113	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000089176	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES	road from Granada to Cerro Travenque		PRESENT	NA	061b4f20-f241-11da-a328-b8a03c50a862	37.25	-3.05	NA	NA	1580	NA	NA	NA	1975-07-23T00:00:00	23	7	1975	7230657	2684451	PRESERVED_SPECIMEN	K	Herbarium	K000089176	1361	Farjon, A.		CC_BY_4_0		Mason, M.; Halliwell, B.H.			2023-09-27T16:45:45.812Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4	912138106	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000089177	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES	near Beniaján		PRESENT	NA	061b4f20-f241-11da-a328-b8a03c50a862	37.95	-1.13	NA	NA	NA	NA	NA	NA	1926-04-29T00:00:00	29	4	1926	7230657	2684451	PRESERVED_SPECIMEN	K	Herbarium	K000089177	469	Farjon, A.		CC_BY_4_0		Sandwith, N.Y.; Ellman, E.			2023-09-27T16:45:45.500Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
6	912138075	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000089175	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES	near Frama		PRESENT	NA	061b4f20-f241-11da-a328-b8a03c50a862	43.17	-4.07	NA	NA	350	NA	NA	NA	1972-05-16T00:00:00	16	5	1972	7230657	2684451	PRESERVED_SPECIMEN	K	Herbarium	K000089175	134	Farjon, A.		CC_BY_4_0		Brummitt, Dr. R.K.; Chater, A.O.			2023-09-27T16:46:55.123Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
7	912138072	cd6e21c8-9e8a-493a-8a76-fbf7862069e5	http://specimens.kew.org/herbarium/K000089178	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES			PRESENT	NA	061b4f20-f241-11da-a328-b8a03c50a862	36.75	-5.08	NA	NA	1370	NA	NA	NA	1924-05-10T00:00:00	10	5	1924	7230657	2684451	PRESERVED_SPECIMEN	K	Herbarium	K000089178	374	Farjon, A.		CC_BY_4_0		Hubbard, C.E.; Ellman, E.			2023-09-27T16:46:54.782Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
8	910446477	962cceea-f762-11e1-a439-00145eb45e9a	MGC:MGC-Cormof:78123-1	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES	Yunquera; Mirador de Ceballos	Ma	PRESENT	1	7fadb370-f921-11dd-af50-b8a03c50a862	36.71323	-4.96501	1	NA	1130	0	NA	NA	2014-02-15T00:00:00	15	2	2014	7230657	2684451	PRESERVED_SPECIMEN	MGC	MGC-Cormof	78123-1		B. Díez Garretas & J. Pereña		CC_BY_NC_4_0		J. Pereña			2023-09-07T09:06:07.289Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
9	910446473	962cceea-f762-11e1-a439-00145eb45e9a	MGC:MGC-Cormof:78108-1	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES	Yunquera; Puerto del Saucillo	Ma	PRESENT	1	7fadb370-f921-11dd-af50-b8a03c50a862	36.719	-4.965	707	NA	1150	0	NA	NA	2014-03-02T00:00:00	2	3	2014	7230657	2684451	PRESERVED_SPECIMEN	MGC	MGC-Cormof	78108-1		B. Díez Garretas		CC_BY_NC_4_0		J. Pereña			2023-09-07T09:06:07.712Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
10	910446468	962cceea-f762-11e1-a439-00145eb45e9a	MGC:MGC-Cormof:78124-1	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES	Nerja; Pinar cercano a la cueva	Ma	PRESENT	1	7fadb370-f921-11dd-af50-b8a03c50a862	36.76295	-3.84528	1	NA	165	0	NA	NA	2014-02-15T00:00:00	15	2	2014	7230657	2684451	PRESERVED_SPECIMEN	MGC	MGC-Cormof	78124-1		B. Díez Garretas & J. Pereña		CC_BY_NC_4_0		J. Pereña			2023-09-07T09:06:07.292Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
11	910446448	962cceea-f762-11e1-a439-00145eb45e9a	MGC:MGC-Cormof:77158-1	Plantae	Tracheophyta	Pinopsida	Pinales	Cupressaceae	Juniperus	Juniperus oxycedrus	oxycedrus	SUBSPECIES	Juniperus oxycedrus subsp. oxycedrus	Juniperus oxycedrus L. subsp. oxycedrus	L.	ES	Archidona; Hoz de Marín. Loma del Pinar (margen izquierda de la Hoz). Orientación Norte	Ma	PRESENT	1	7fadb370-f921-11dd-af50-b8a03c50a862	37.061	-4.4	707	NA	825	25	NA	NA	2013-05-07T00:00:00	7	5	2013	7230657	2684451	PRESERVED_SPECIMEN	MGC	MGC-Cormof	77158-1		F. Soriguer		CC_BY_NC_4_0		A. V. Pérez Latorre, N. Hidalgo Triana & F. Soriguer			2023-09-07T09:06:07.563Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
